!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
¡Bomba!	Saturday July 10, 2004 at 7:30 p.m.	Labatt Bleue Légère Stage	Bomba
¡Bomba!	Sunday July 5, 2009 at 8 p.m.	Scène Bell 	Bomba!
The 1234	Saturday June 25, 2011 at 5 p.m.	Pub Heineken	The 1234
The 1234	Saturday June 25, 2011 at 7 p.m.	Pub Heineken	
The 1234	Sunday June 26, 2011 at 5 p.m.	Pub Heineken	
The 1234	Sunday June 26, 2011 at 7 p.m.	Pub Heineken	
The 12-Piece Orchestra	Wednesday July 7, 1993 at 8 p.m.	Scène Diet Pepsi	Jan Jarczyk  and The 12-Piece Orchestra
The 3 Crooners	Saturday July 10, 2004 at 9 p.m.	General Motors Stage	The Three Crooners
The 3 Crooners	Saturday July 10, 2004 at 11 p.m.	General Motors Stage	
3 Na Massa	Sunday June 29, 2008 at 8 p.m.	Scène du Festival	3 Na Massa
3 Na Massa	Sunday June 29, 2008 at 10 p.m.	Scène du Festival	
3 Na Massa	Monday June 30, 2008 at 10 p.m.	Scène Bell	
4 Brass	Friday July 9, 1999 at 6 p.m.	Scène du Maurier 	4 Brass
4DZ Societiez	Thursday June 26, 2008 at 10 p.m.	Scène Bell	4dz Societiez
4-Hero	Thursday July 8, 1999 at 11:59 p.m.	Le Savoy du Métropolis 	4-Hero avec DJ Luv
4-Hero	Friday July 9, 1999 at 9 p.m.	Métropolis 	Herbaliser with 4-Hero
7e Mezzo	Thursday July 6, 2006 at 9:30 p.m.	Cabaret Juste pour Rire	7e Mezzo
8 1/2 Souvenirs 	Thursday July 1, 1999 at 9 p.m.	Scène du Maurier 	8 1/2 Souvenirs 
8 1/2 Souvenirs 	Thursday July 1, 1999 at 11 p.m.	Scène du Maurier 	
8 1/2 Souvenirs 	Friday July 2, 1999 at 9 p.m.	Scène du Maurier 	
8 1/2 Souvenirs 	Friday July 2, 1999 at 11 p.m.	Scène du Maurier 	
A Few Colors	Tuesday July 1, 1986 at 6 p.m.	Emery Stage	A Few Colors
A Few Colors	Tuesday June 30, 1987 at 6 p.m.	Scène Yogourt Liberté	A Few Colors
A Few Colors	Monday July 3, 1989 at 6 p.m.	Bibliothèque nationale du Québec	A Few Colors Septet
A Few Colors	Saturday June 30, 1990 at 11 p.m.	Théâtre Alcan	A Few Colors Septuor
A Few Colors	Sunday June 30, 1991 at 8:30 p.m.	Théâtre Alcan	A Few Colors
A Rhapsody In Black And Blue	Thursday June 28, 2007 at 6 p.m.	Cinémathèque québécoise - Salle Claude-Jutra	A Rhapsody In Black And Blue - New Orleans
A.C. Reed	Thursday July 7, 1988 at 10:30 p.m.	Scène Labatt Blues	A.C. Reed and the Spark Plugs
A.C. Reed	Thursday July 7, 1988 at 11:30 p.m.	Club Soda	Jim Zeller &amp; Blues Deluxe / A.C Reed and the Sparke Plugs
A.C. Reed	Tuesday July 2, 1996 at 9 p.m.	Scène Labatt Blues	A.C. Reed &amp; The Sparkplugs
A.C. Reed	Tuesday July 2, 1996 at 11:59 p.m.	Spectrum de Montréal	
A.C. Reed	Saturday July 1, 2000 at 9 p.m.	Labatt Blues Stage	A.C. Reed 
A.C. Reed	Saturday July 1, 2000 at 11:59 p.m.	Spectrum de Montréal 	
A.J. Croce	Thursday June 30, 1994 at 8:30 p.m.	Club Soda	A.J. Croce
A.J. Croce	Friday July 1, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Saturday July 2, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Sunday July 3, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Monday July 4, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Wednesday July 6, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Thursday July 7, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Friday July 8, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Saturday July 9, 1994 at 8:30 p.m.	Club Soda	
A.J. Croce	Sunday July 10, 1994 at 8:30 p.m.	Club Soda	
A.L. Blues Band de l'École secondaire André-Laurendeau	Thursday June 28, 2001 at 4 p.m.	La Louisiane / Radio-Canada Stage	A.L. Jazz École secondaire André-Laurendeau
A.L. Blues Band de l'École secondaire André-Laurendeau	Monday July 4, 2005 at 3 p.m.	General Motors Stage	A.L. Blue Devils /  École secondaire André-Laurendeau
A.L. Blues Band de l'École secondaire André-Laurendeau	Monday July 3, 2006 at 3 p.m.	General Motors Stage	A.L. Blues Band de l'école secondaire André-Laurendeau
Aaron Davis	Friday June 28, 1985 at 8:30 p.m.	Scène Maisonneuve	Aaron Davis Sextet
Aaron Davis	Saturday July 10, 1993 at 6 p.m.	Théâtre Maisonneuve	Holly Cole Trio 
Aaron Davis	Saturday July 10, 1993 at 9:30 p.m.	Théâtre Maisonneuve	
Aaron Davis	Thursday June 30, 1994 at 8:30 p.m.	Salle Wilfrid-Pelletier	Une soirée avec le Holly Cole Trio 
Aaron Parks	Wednesday July 4, 2007 at 10 p.m.	Spectrum de Montréal	Kurt Rosenwinkel With Mark Turner • Aaron Parks • Joe Martin • Obed Calvaire
Aaron Parks	Friday July 3, 2009 at 9 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Aaron Parks Trio
Aaron Parks	Saturday July 4, 2009 at 6 p.m.	Gesù — Centre de créativité 	Joshua Redman, Aaron Parks, Matt Penman and Eric Harland Quartet 
Ab Baars	Thursday June 27, 2002 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Ab Baars Trio
Ab Baars	Friday June 27, 2008 at 9 p.m.	Studio Hydro-Québec — Monument-National	Duo Baars - Henneman
Abbey Lincoln	Friday July 5, 1991 at 6 p.m.	Théâtre Maisonneuve	Shirley Horn Trio / Abbey Lincoln et ses musiciens
Abbey Lincoln	Wednesday July 2, 2008 at 6 p.m.	Théâtre Maisonneuve - PdA	Abbey Lincoln
Abbittibbi	Saturday July 8, 1995 at 9 p.m.	Spectrum de Montréal	Richard Desjardins and Abbittibbi 
Abdelli	Sunday July 9, 2006 at 6:30 p.m.	Carrefour General Motors	Abdelli
Abdul Wadud	Saturday July 7, 1984 at 11:59 p.m.	Théâtre St-Denis	Anthony Davis / James Newton / Abdul Wadud
Abdullah Ibrahim	Sunday July 1, 1984 at 11:59 p.m.	Théâtre St-Denis	Abdulah Ibrahim (Dollar Brand) &amp; Ekaya
Abdullah Ibrahim	Thursday July 1, 1993 at 8 p.m.	Salle du Gesù	Abdullah Ibrahim Solo
Abdullah Ibrahim	Friday July 9, 1999 at 6 p.m.	Théâtre Maisonneuve	Abdullah Ibrahim's African Suite with  I Musici de Montréal
Abdullah Ibrahim	Friday July 4, 2003 at 9:30 p.m.	Spectrum de Montréal	Abdullah Ibrahim trio "African Magic"
Abri Fiscal	Tuesday July 5, 1988 at 10 p.m.	Scène Jazz Bud	Abri Friscal
Abri Fiscal	Sunday July 2, 1989 at 12 p.m.	Complexe Desjardins	Abri Fiscal
Abri Fiscal	Friday June 28, 1991 at 6:30 p.m.	Scène Budweiser	Abri Fiscal 
Abri Fiscal	Friday June 28, 1991 at 8:30 p.m.	Scène Budweiser	
Abri Fiscal	Friday July 10, 1992 at 4 p.m.	Scène Alcan	Abri Fiscal
Abri Fiscal	Friday July 10, 1992 at 6 p.m.	Scène Alcan	
Accabbanna	Friday July 7, 2006 at 9:30 p.m.	Cabaret Juste pour Rire	Accabbanna
Accoules Sax	Friday July 1, 2005 at 5 p.m.	CBC Television Stage	Accoules Sax
Accoules Sax	Friday July 1, 2005 at 6:15 p.m.	CBC Television Stage	
Accoules Sax	Saturday July 2, 2005 at 1 p.m.	Terrasse Amarula Stage	
Accoules Sax	Saturday July 2, 2005 at 4 p.m.	Bell-Samsung Stage	
Accoules Sax	Sunday July 3, 2005 at 7 p.m.	Terrasse Amarula Stage	
Accoules Sax	Monday July 4, 2005 at 12 p.m.	Terrasse Amarula Stage	
Accoules Sax	Tuesday July 5, 2005 at 5 p.m.	CBC Television Stage	
Accoules Sax	Tuesday July 5, 2005 at 6:15 p.m.	CBC Television Stage	
Accoules Sax	Thursday June 29, 2006 at 1 p.m.	Terrasse Amarula Stage	Accoules Sax
Accoules Sax	Thursday June 29, 2006 at 5 p.m.	Best Buy / CBC Stage	
Accoules Sax	Thursday June 29, 2006 at 6:15 p.m.	Best Buy / CBC Stage	
Accoules Sax	Friday June 30, 2006 at 7 p.m.	Terrasse Amarula Stage	
Accoules Sax	Saturday July 1, 2006 at 12 p.m.	Terrasse Amarula Stage	
Accoules Sax	Sunday July 2, 2006 at 1 p.m.	Terrasse Amarula Stage	
